commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_flag,weight_tonnes,price_usd_per_tonne,value_usd,n_hs_codes,n_monthly_obs
crude_steel,export,2011Q1,2011,1,12.433280215522045,6.232518499845414,4.419574301185631,trade_weighted_gdp,0,251018.072,509.03587726145867,127777204.489,14,32
crude_steel,export,2011Q2,2011,2,12.899783642115988,6.201424413775808,4.419574301185631,trade_weighted_gdp,0,400225.59,493.45141973555457,197491885.6,13,34
crude_steel,export,2011Q3,2011,3,12.59772091252573,6.167831755627106,4.419574301185631,trade_weighted_gdp,0,295883.452,477.1504049878397,141180908.951,13,31
crude_steel,export,2011Q4,2011,4,12.866364624213297,6.108886902087823,4.419574301185631,trade_weighted_gdp,0,387071.467,449.8377229624109,174119347.339,12,29
crude_steel,export,2012Q1,2012,1,12.986170870009746,5.966939130567263,4.464775147185402,trade_weighted_gdp,0,436337.31,390.30915513275727,170306446.819,13,29
crude_steel,export,2012Q2,2012,2,13.051631433893558,6.0876076937952,4.464775147185402,trade_weighted_gdp,0,465855.805,440.36665811430646,205147364.011,13,28
crude_steel,export,2012Q3,2012,3,12.658816681226691,6.0995205553745375,4.464775147185402,trade_weighted_gdp,0,314524.32,445.6440572067687,140165894.055,13,29
crude_steel,export,2012Q4,2012,4,13.175919253222958,5.961060572603182,4.464775147185402,trade_weighted_gdp,0,527507.97,388.0214309880475,204684397.377,11,27
crude_steel,export,2013Q1,2013,1,12.723422212027716,6.0366660326330654,4.513610066297729,trade_weighted_gdp,0,335515.09,418.49545624609607,140411540.667,11,25
crude_steel,export,2013Q2,2013,2,13.290979762578726,5.966691697891696,4.513610066297729,trade_weighted_gdp,0,591832.99,390.2125918411544,230940684.965,11,28
crude_steel,export,2013Q3,2013,3,13.024172244637414,5.922538880165183,4.513610066297729,trade_weighted_gdp,0,453237.815,373.35842387290654,169220156.248,10,27
crude_steel,export,2013Q4,2013,4,13.288826159282456,5.912014975639055,4.513610066297729,trade_weighted_gdp,0,590559.788,369.4498383303403,218182218.201,13,32
crude_steel,export,2014Q1,2014,1,13.008351883036267,6.023917566850903,4.558245803317075,trade_weighted_gdp,0,446123.85,413.1941448344445,184335762.691,12,31
crude_steel,export,2014Q2,2014,2,13.436644210445193,5.9108391197823185,4.558245803317075,trade_weighted_gdp,0,684637.11,369.0156738815984,252641824.511,14,30
crude_steel,export,2014Q3,2014,3,12.943547302024646,5.974408847281021,4.558245803317075,trade_weighted_gdp,0,418129.847,393.2355700907426,164423528.757,13,29
crude_steel,export,2014Q4,2014,4,13.277474981681484,5.764212033631148,4.558245803317075,trade_weighted_gdp,0,583894.142,318.6878297830225,186079956.937,11,26
crude_steel,export,2015Q1,2015,1,12.838869638956792,5.738608142758221,4.605170185988091,trade_weighted_gdp,0,376573.919,310.6317548959093,116975817.307,9,23
crude_steel,export,2015Q2,2015,2,13.181318389727622,5.648344663256983,4.605170185988091,trade_weighted_gdp,0,530363.76,283.82125699915844,150528509.03,13,30
crude_steel,export,2015Q3,2015,3,12.813382827430054,5.633621394820651,4.605170185988091,trade_weighted_gdp,0,367097.525,279.6730926475192,102667300.12,12,33
crude_steel,export,2015Q4,2015,4,13.02049406927209,5.369488754437903,4.605170185988091,trade_weighted_gdp,0,451573.789,214.753048091549,96976847.626,13,31
crude_steel,export,2016Q1,2016,1,12.693300273893746,5.348304572913291,4.649407142881142,trade_weighted_gdp,0,325559.42,210.2515293767264,68449365.958,12,27
crude_steel,export,2016Q2,2016,2,12.834356166767524,5.515945427776374,4.649407142881142,trade_weighted_gdp,0,374878.093,248.62492307599317,93204037.035,11,27
