commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_flag,weight_tonnes,price_usd_per_tonne,value_usd,n_hs_codes,n_monthly_obs
cement,import,2011Q1,2011,1,11.747816788830397,4.745563004382229,13.080786931690664,final_demand,0,126477.13108,115.07257363225764,14554048.979,4,12
cement,import,2011Q2,2011,2,11.51693388257945,4.884128935688815,13.085871577378287,final_demand,0,100401.646206,132.17528200455888,13270615.901,4,11
cement,import,2011Q3,2011,3,11.901271145469728,4.606796259033375,13.110276626029178,final_demand,0,147453.941572,100.16273958189366,14769390.75,4,12
cement,import,2011Q4,2011,4,11.969454625812084,4.677054211586667,13.113308505508092,final_demand,0,157858.54494,107.453071878036,16962385.575999998,4,12
cement,import,2012Q1,2012,1,11.877131705462427,4.644449738718767,13.131067387367716,final_demand,0,143937.104014,104.00611949608152,14970339.64,4,12
cement,import,2012Q2,2012,2,12.084989088974583,4.577459112348197,13.144222711757223,final_demand,0,177191.985748,97.26693560233174,17234921.467,4,12
cement,import,2012Q3,2012,3,12.125203293783052,4.532053809869298,13.144075944309979,final_demand,0,184462.836462,92.9492652983902,17145685.124,4,12
cement,import,2012Q4,2012,4,12.103956728808166,4.513994865291683,13.145941222530812,final_demand,0,180584.976302,91.28576540294084,16484837.782,4,12
cement,import,2013Q1,2013,1,11.497035739848814,4.903167010437079,13.145720464430974,final_demand,0,98423.585056,134.71575099053663,13259207.176,4,12
cement,import,2013Q2,2013,2,11.932836777030976,4.665728550835827,13.142183651603624,final_demand,0,152182.65819699998,106.24296043028856,16168336.133,4,12
cement,import,2013Q3,2013,3,11.389830708378884,4.932024394527232,13.152312394764186,final_demand,0,88417.98767199999,138.65993081046426,12260032.053,4,12
cement,import,2013Q4,2013,4,11.26548582328407,5.032826970992601,13.154664048353983,final_demand,0,78079.7347,153.3659615649283,11974773.591,4,12
cement,import,2014Q1,2014,1,11.26430458807768,5.004209847297668,13.15630866145707,final_demand,0,77987.55862000001,149.03927283625998,11623209.027,4,12
cement,import,2014Q2,2014,2,11.55621638493784,4.959804780355704,13.155769139530014,final_demand,0,104424.164141,142.56596150387375,14887331.365,4,12
cement,import,2014Q3,2014,3,11.403117378214596,5.002651302154616,13.158832230739097,final_demand,0,89600.60742300001,148.80716932034363,13333212.76,4,12
cement,import,2014Q4,2014,4,11.578153738324037,4.931153844236812,13.161514857391818,final_demand,0,106740.265616,138.5392728944397,14787718.787,4,12
cement,import,2015Q1,2015,1,11.58128592929125,4.766630684643204,13.165231277631504,final_demand,0,107075.120653,117.5226034232578,12583746.941,4,12
cement,import,2015Q2,2015,2,11.023378572330108,5.035385705267884,13.167390278898885,final_demand,0,61290.404261,153.75888678868768,9423944.33,4,12
cement,import,2015Q3,2015,3,11.13977458357328,4.9212565614414885,13.170696294194967,final_demand,0,68856.133391,137.17487359280872,9445331.394,4,12
cement,import,2015Q4,2015,4,11.02326662307584,4.949444418972427,13.173457551968843,final_demand,0,61283.54323,141.09655157417697,8646896.617999999,4,12
cement,import,2016Q1,2016,1,11.345772305573869,4.772512972404112,13.181874909377813,final_demand,0,84607.001784,118.21594240550732,10001896.45,4,11
cement,import,2016Q2,2016,2,11.234515881411426,4.891717407176832,13.185576645782255,final_demand,0,75698.67087,133.18210565828392,10081708.382,4,12
cement,import,2016Q3,2016,3,11.700480781584556,4.5034476786252,13.187476733292742,final_demand,0,120629.697584,90.32801704913872,10896241.38,4,12
cement,import,2016Q4,2016,4,11.136518810547232,4.866333226093293,13.198488884393813,final_demand,0,68632.317993,129.8439345864569,8911490.208,4,12
cement,import,2017Q1,2017,1,11.481805488607284,4.701016857876446,13.205531043459233,final_demand,0,96935.92659,110.05902996238126,10668674.049,4,12
cement,import,2017Q2,2017,2,11.405157523676248,4.75533288043283,13.212609849160653,final_demand,0,89783.59229,116.20232820826912,10433062.459,4,12
cement,import,2017Q3,2017,3,12.639710607871598,4.321323024786,13.223304943871861,final_demand,0,308572.0387,75.2881705447928,23231824.275,4,12
cement,import,2017Q4,2017,4,12.416701785223921,4.36167869723639,13.231874069155236,final_demand,0,246890.892,78.38861478535225,19353435.027000003,4,12
cement,import,2018Q1,2018,1,12.364562495527164,4.435485021212464,13.241606679685574,final_demand,0,234348.0062,84.39304738151428,19777342.391,4,12
cement,import,2018Q2,2018,2,12.728968057462533,4.4295011568210825,13.244094165975476,final_demand,0,337380.974,83.88955873664649,28302741.035,4,12
cement,import,2018Q3,2018,3,12.65485551338399,4.474938711683679,13.248620627487137,final_demand,0,313280.9007,87.78921979139982,27502685.848,4,12
cement,import,2018Q4,2018,4,12.261184096770931,4.435033227948647,13.249549179286253,final_demand,0,211331.6748,84.35492778293168,17826868.166,4,12
cement,import,2019Q1,2019,1,12.699518276104744,4.365897282508047,13.252687883460384,final_demand,0,327590.0559,78.72000234302594,25787889.968,4,12
cement,import,2019Q2,2019,2,12.121490137485136,4.519301921948696,13.256152736752576,final_demand,0,183779.16719,91.7715119340127,16865692.035,4,12
cement,import,2019Q3,2019,3,12.070357316251124,4.52466519194535,13.26153906100687,final_demand,0,174618.22812,92.26502958172382,16111155.983,4,11
cement,import,2019Q4,2019,4,12.330629926751726,4.5738255873152225,13.26586267498502,final_demand,0,226529.3796,96.91415506353157,21953903.421,4,12
cement,import,2020Q1,2020,1,12.058053175389055,4.619009553709407,13.26269906819786,final_demand,0,172482.86469,101.39355750747764,17488651.259999998,4,12
cement,import,2020Q2,2020,2,11.98845568000608,4.7234940468879705,13.181974780205344,final_demand,0,160886.701686,112.56085929553151,18109545.391,4,12
cement,import,2020Q3,2020,3,12.266931651876408,4.55737002958401,13.229603924694663,final_demand,0,212549.81255,95.3324283795046,20262889.782,4,12
cement,import,2020Q4,2020,4,12.19834448089429,4.557537427535033,13.266550297716826,final_demand,0,198460.32417,95.34838816846218,18922872.025,4,12
cement,import,2021Q1,2021,1,12.243915966403515,4.630381841061894,13.286527752413827,final_demand,0,207713.699625,102.55321566395212,21301707.834,4,12
cement,import,2021Q2,2021,2,11.892232592829407,4.723375355242138,13.301222279456224,final_demand,0,146127.17641,112.54750005471622,16446248.395,4,11
cement,import,2021Q3,2021,3,12.290364657278797,4.562564597433579,13.285293122505816,final_demand,0,217589.30812,95.82892757993665,20851350.05,4,12
cement,import,2021Q4,2021,4,12.191917848950904,4.618408840937744,13.3208305559963,final_demand,0,197188.98231,101.33266739308422,19981685.558,4,12
cement,import,2022Q1,2022,1,12.113416553726243,4.633021595743445,13.34182977627261,final_demand,0,182301.38422,102.82428862075264,18745010.147,4,11
cement,import,2022Q2,2022,2,11.205245344528889,5.236173307678066,13.35124244913007,final_demand,0,73515.044,187.94949961534405,13817115.734,4,11
cement,import,2022Q3,2022,3,11.808530684480303,4.957439036974059,13.356775993620005,final_demand,0,134393.9491,142.22908566201212,19114728.499,4,10
cement,import,2022Q4,2022,4,11.877446708285035,4.928382591074057,13.362228736729433,final_demand,0,143982.45175,138.15587698519656,19892021.892,4,11
cement,import,2023Q1,2023,1,12.600152043741382,4.582435552000234,13.372047588714445,final_demand,0,296603.6586,97.75218504334389,28993655.72,4,12
cement,import,2023Q2,2023,2,12.849116944151486,4.541592020283404,13.383383662212546,final_demand,0,380452.626083,93.8400765676704,35701703.562,4,11
cement,import,2023Q3,2023,3,12.045829010174614,4.740572167979755,13.387566684895683,final_demand,0,170387.24038000003,114.49969600123876,19509287.226,4,10
cement,import,2023Q4,2023,4,12.561289477940782,4.385270362159274,13.387519126665607,final_demand,0,285297.986,80.25991952498397,22897993.397,4,10
cement,import,2024Q1,2024,1,12.702228129745512,4.531405838568292,13.393659937566671,final_demand,0,328478.98089,92.88905635096876,30512102.566,4,12
cement,import,2024Q2,2024,2,12.860413194566606,4.302015657378927,13.397116733011543,final_demand,0,384774.679759,73.84849704974737,28415031.803,4,11
cement,import,2024Q3,2024,3,12.8518014414283,4.272906434267169,13.405520728727193,final_demand,0,381475.32222,71.72981092920983,27363152.737,4,10
cement,import,2024Q4,2024,4,12.581447181635646,4.43350359411329,13.409056961462394,final_demand,0,291107.2927,84.22599426688977,24518801.166,4,11
