commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
lime,export,2020Q4,2020,4,6.060057338573594,5.1784999099187825,4.774611394170627,trade_weighted_gdp,USD,0,428.4,177.4164705882353,,76005.216,2,5
lime,export,2021Q1,2021,1,9.531735228288122,6.268708993321509,4.84047083168027,trade_weighted_gdp,USD,0,13790.5,527.7955502701135,,7278564.536,3,6
lime,export,2021Q2,2021,2,6.610857539079265,4.582052932887117,4.84047083168027,trade_weighted_gdp,USD,0,743.12,97.71479034341696,,72613.815,4,6
lime,export,2021Q3,2021,3,5.652138241503862,5.057588698047437,4.84047083168027,trade_weighted_gdp,USD,0,284.9,157.2109757809758,,44789.407,2,4
lime,export,2021Q4,2021,4,6.9014051595833354,4.808501491152812,4.84047083168027,trade_weighted_gdp,USD,0,993.67,122.54784083246956,,121772.113,2,5
lime,export,2022Q1,2022,1,5.943953564436931,5.570008952608858,4.869022379495034,trade_weighted_gdp,USD,0,381.44,262.43644872063754,,100103.759,3,4
lime,export,2022Q2,2022,2,6.558793370107705,5.487382417054356,4.869022379495034,trade_weighted_gdp,USD,0,705.42,241.62390774290492,,170446.337,2,4
lime,export,2022Q3,2022,3,6.802638622477139,6.754538078703808,4.869022379495034,trade_weighted_gdp,USD,0,900.2195,857.9433560370553,,772337.3389999999,4,7
lime,export,2022Q4,2022,4,9.95989718611009,6.617614592528145,4.869022379495034,trade_weighted_gdp,USD,0,21160.62,748.1583044353143,,15831493.58,5,8
lime,export,2023Q1,2023,1,5.511515626996378,5.865100040583561,4.910528181425606,trade_weighted_gdp,USD,0,247.526,352.5174203922012,,87257.227,4,6
lime,export,2023Q2,2023,2,4.836837308243178,5.723412732388551,4.910528181425606,trade_weighted_gdp,USD,0,126.07,305.9472594590307,,38570.771,3,4
lime,export,2023Q3,2023,3,4.701661486176852,7.080928134105942,4.910528181425606,trade_weighted_gdp,USD,0,110.13,1189.071624443839,,130952.45799999998,2,4
lime,export,2023Q4,2023,4,4.912948960138995,5.682931538593838,4.910528181425606,trade_weighted_gdp,USD,0,136.04,293.8094825051455,,39969.842,2,3
lime,export,2024Q1,2024,1,3.202746442938317,6.35256225715748,4.946731907456288,trade_weighted_gdp,USD,0,24.6,573.9614634146341,,14119.452,2,2
lime,export,2024Q2,2024,2,4.578076442989975,6.275619286303025,4.946731907456288,trade_weighted_gdp,USD,0,97.327,531.4554029200531,,51724.96,2,3
lime,export,2024Q3,2024,3,5.081466474856847,6.354749475341845,4.946731907456288,trade_weighted_gdp,USD,0,161.01,575.2182162598597,,92615.885,2,4
lime,export,2024Q4,2024,4,4.4520190064939165,5.649998533641605,4.946731907456288,trade_weighted_gdp,USD,0,85.8,284.291048951049,,24392.172,2,2
