commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
flat_steel,import,2011Q1,2011,1,11.183469292111418,7.175904720266941,13.080786931690664,final_demand,AUD,0,71931.481,1325.5258758957011,1307.5425262502463,95347039.357,25,71
flat_steel,import,2011Q2,2011,2,11.011096631773754,7.287329733027917,13.085871577378287,final_demand,AUD,0,60542.243,1575.967027567842,1461.6624525265838,95412578.743,25,66
flat_steel,import,2011Q3,2011,3,11.197362425523794,7.29985765066582,13.110276626029178,final_demand,AUD,0,72937.809,1546.7731548941922,1480.08922287266,112818244.938,27,72
flat_steel,import,2011Q4,2011,4,11.334684148661951,7.163493414861698,13.113308505508092,final_demand,AUD,0,83674.048,1320.4155219190543,1291.4145085334735,110484511.761,28,78
flat_steel,import,2012Q1,2012,1,11.462171561927113,7.106835130783828,13.131067387367716,final_demand,AUD,0,95051.256,1295.4021523187448,1220.2794035184727,123129601.603,28,78
flat_steel,import,2012Q2,2012,2,11.560750611278717,7.077148487642491,13.144222711757223,final_demand,AUD,0,104898.722,1198.170155171195,1184.5858367697065,125686518.016,30,80
flat_steel,import,2012Q3,2012,3,11.43958152702187,7.093430501138422,13.144075944309979,final_demand,AUD,0,92928.116,1255.7402221734487,1204.031154227726,116693573.032,27,76
flat_steel,import,2012Q4,2012,4,11.450549393385707,6.986533417579756,13.145941222530812,final_demand,AUD,0,93952.949,1124.9845264782484,1081.9642493341796,105695613.842,28,76
flat_steel,import,2013Q1,2013,1,11.296010103155423,7.008104865057563,13.145720464430974,final_demand,AUD,0,80499.81,1145.8649973832237,1105.557337979146,92241914.575,30,81
flat_steel,import,2013Q2,2013,2,11.184399883877877,7.21558172400383,13.142183651603624,final_demand,AUD,0,71998.451,1325.5369045925725,1360.4648529984092,95436603.874,27,75
flat_steel,import,2013Q3,2013,3,10.826481904854028,7.306627901991995,13.152312394764186,final_demand,AUD,0,50336.307,1355.298698472258,1490.1437964864976,68220731.363,29,74
flat_steel,import,2013Q4,2013,4,10.707094172121451,7.368615148687902,13.154664048353983,final_demand,AUD,0,44671.642,1453.736764500396,1585.4366680068279,64940808.306,24,71
flat_steel,import,2014Q1,2014,1,11.142459995919058,7.208286605967662,13.15630866145707,final_demand,AUD,0,69041.289,1211.882028448223,1350.5762145590838,83669897.36,29,77
flat_steel,import,2014Q2,2014,2,10.934740563247932,7.283962427211933,13.155769139530014,final_demand,AUD,0,56091.556,1360.8448570405144,1456.7488654671522,76331905.506,26,72
flat_steel,import,2014Q3,2014,3,11.155567544999311,7.180173791994407,13.158832230739097,final_demand,AUD,0,69952.208,1199.3098834564307,1313.1364510187996,83894374.424,26,72
