commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_flag,weight_tonnes,price_usd_per_tonne,value_usd,n_hs_codes,n_monthly_obs
crude_steel,import,2010Q1,2010,1,0.4495177185646228,14.054289732308815,10.551872695122077,construction_gva,1,1.567556,1269698.1237033957,1990322.912,3,7
crude_steel,import,2010Q2,2010,2,10.42629648875205,6.670674789671221,10.580886376127934,construction_gva,0,33735.18,788.9277852082012,26614620.841,12,26
crude_steel,import,2010Q3,2010,3,2.773307276517811,13.632691321097786,10.557348017764696,construction_gva,1,16.011501,832918.7031247102,13336278.648,5,8
crude_steel,import,2010Q4,2010,4,0.42828474826803814,14.123600688748773,10.572418881836954,construction_gva,1,1.534623,1360823.6355117837,2088351.25,3,5
crude_steel,import,2011Q1,2011,1,7.687242527921167,7.54568939589898,10.587593988443924,construction_gva,0,2180.354,1892.567015723135,4126466.063,11,27
crude_steel,import,2011Q2,2011,2,7.814882958018445,7.57821384948726,10.611474083292713,construction_gva,0,2477.197,1955.1336817378676,4843251.291,13,26
crude_steel,import,2011Q3,2011,3,7.793639997833021,7.473663534321671,10.68290416824825,construction_gva,0,2425.129,1761.0465364935226,4270765.026,11,26
crude_steel,import,2011Q4,2011,4,7.819163309849295,7.527357009477281,10.667256277574845,construction_gva,0,2487.823,1858.1878349062615,4622842.434,11,23
crude_steel,import,2012Q1,2012,1,7.6342226255792145,7.344882369398638,10.705377024100308,construction_gva,0,2067.763,1548.2528326505503,3201419.9220000003,9,21
crude_steel,import,2012Q2,2012,2,7.986285261247511,7.25649802493008,10.714973170044157,construction_gva,0,2940.354,1417.284541249115,4167318.27,7,18
crude_steel,import,2012Q3,2012,3,7.6665310113802745,7.547772304576811,10.722584331418851,construction_gva,0,2135.66,1896.513168294579,4050307.313,9,21
crude_steel,import,2012Q4,2012,4,9.44450227766275,5.775874649070658,10.737960669186508,construction_gva,0,12638.491,322.4263213068712,4074982.16,10,22
crude_steel,import,2013Q1,2013,1,7.4173143009466225,7.016761659888065,10.714817688773783,construction_gva,0,1664.557,1115.1694661102024,1856263.141,8,18
crude_steel,import,2013Q2,2013,2,7.009550747404038,7.707167613188362,10.729853576882297,construction_gva,0,1107.157,2224.233438437367,2462575.621,9,21
crude_steel,import,2013Q3,2013,3,6.840937896544798,7.370460088958396,10.749527479199216,construction_gva,0,935.366,1588.364403880406,1485702.059,9,19
crude_steel,import,2013Q4,2013,4,6.787330757672302,7.515736394662029,10.76106807892895,construction_gva,0,886.544,1836.719528867152,1628332.678,9,19
crude_steel,import,2014Q1,2014,1,10.329655242337129,6.424143661897867,10.78549735043341,construction_gva,0,30627.551,616.5526139194087,18883496.627,11,19
crude_steel,import,2014Q2,2014,2,6.71267669624875,7.378790447547029,10.7915845500395,construction_gva,0,822.77,1601.651314462122,1317790.652,10,21
crude_steel,import,2014Q3,2014,3,10.8573327254876,6.153899070698994,10.7553037612248,construction_gva,0,51913.426,470.5485165436779,24427785.593,10,20
crude_steel,import,2014Q4,2014,4,6.231872212300193,7.512698934468788,10.759539838018519,construction_gva,0,508.707,1831.1490307780316,931518.33,10,21
crude_steel,import,2015Q1,2015,1,6.813312722683661,7.438305624041255,10.739977214206728,construction_gva,0,909.88,1699.8675649536203,1546675.5,8,16
crude_steel,import,2015Q2,2015,2,6.262025892751344,7.483650156791812,10.733217714882608,construction_gva,0,524.28,1778.721553368429,932548.136,9,17
crude_steel,import,2015Q3,2015,3,6.637171526887752,7.732548613496218,10.736961733187352,construction_gva,0,762.934,2281.4092280590457,1740564.668,8,20
crude_steel,import,2015Q4,2015,4,9.78492561361334,5.383789146768196,10.740540252898029,construction_gva,0,17763.936,217.8461646112663,3869805.326,8,19
